symbol	kind	current_symbol
ACBD3	approved	ACBD3
ACBD3-AS1	approved	ACBD3-AS1
ACBD4	approved	ACBD4
ACBD5	approved	ACBD5
ACBD6	approved	ACBD6
ACBD7	approved	ACBD7
ACBD7P1	approved	ACBD7P1
ACCS	approved	ACCS
ACCSL	approved	ACCSL
ACCSLP1	approved	ACCSLP1
ACD	approved	ACD
ACE	approved	ACE
ACE2	approved	ACE2
ACE2-DT	approved	ACE2-DT
ACE3P	approved	ACE3P
ACER1	approved	ACER1
ACER2	approved	ACER2
ACER2P1	approved	ACER2P1
ACER3	approved	ACER3
ACER3-AS1	approved	ACER3-AS1
ACHE	approved	ACHE
ACIN1	approved	ACIN1
ACKR1	approved	ACKR1
ACKR2	approved	ACKR2
ACKR3	approved	ACKR3
ACKR4	approved	ACKR4
ACKR4P1	approved	ACKR4P1
ACKR5	approved	ACKR5
ACLY	approved	ACLY
ACMSD	approved	ACMSD
ACNATP	approved	ACNATP
ACO1	approved	ACO1
ACO2	approved	ACO2
ACO2P1	approved	ACO2P1
ACO2P2	approved	ACO2P2
ACOD1	approved	ACOD1
ACOT1	approved	ACOT1
ACOT11	approved	ACOT11
ACOT12	approved	ACOT12
ACOT12-DT	approved	ACOT12-DT
ACOT13	approved	ACOT13
ACOT2	approved	ACOT2
ACOT4	approved	ACOT4
ACOT4P1	approved	ACOT4P1
ACOT6	approved	ACOT6
ACOT7	approved	ACOT7
ACOT8	approved	ACOT8
ACOT9	approved	ACOT9
ACOX1	approved	ACOX1
ACOX2	approved	ACOX2
ACOX3	approved	ACOX3
ACOXL	approved	ACOXL
ACOXL-AS1	approved	ACOXL-AS1
ACP1	approved	ACP1
ACP2	approved	ACP2
ACP3	approved	ACP3
ACP4	approved	ACP4
ACP5	approved	ACP5
ACP6	approved	ACP6
ACP7	approved	ACP7
ACR	approved	ACR
ACRBP	approved	ACRBP
ACRP1	approved	ACRP1
ACRV1	approved	ACRV1
ACSBG1	approved	ACSBG1
ACSBG2	approved	ACSBG2
ACSBG3P	approved	ACSBG3P
ACSF2	approved	ACSF2
ACSF3	approved	ACSF3
ACSL1	approved	ACSL1
ACSL1-DT	approved	ACSL1-DT
ACSL3	approved	ACSL3
ACSL3-AS1	approved	ACSL3-AS1
ACSL3P1	approved	ACSL3P1
ACSL4	approved	ACSL4
ACSL5	approved	ACSL5
ACSL6	approved	ACSL6
ACSL6-AS1	approved	ACSL6-AS1
ACSL6-AS2	approved	ACSL6-AS2
ACSM1	approved	ACSM1
ACSM2A	approved	ACSM2A
ACSM2B	approved	ACSM2B
ACSM3	approved	ACSM3
ACSM4	approved	ACSM4
ACSM5	approved	ACSM5
ACSM5P1	approved	ACSM5P1
ACSM6	approved	ACSM6
ACSS1	approved	ACSS1
ACSS2	approved	ACSS2
ACSS3	approved	ACSS3
ACSS3-AS1	approved	ACSS3-AS1
ACTA1	approved	ACTA1
ACTA2	approved	ACTA2
ACTA2-AS1	approved	ACTA2-AS1
ACTB	approved	ACTB
ACTBL2	approved	ACTBL2
ACTBP1	approved	ACTBP1
ACTBP10	approved	ACTBP10
ACTBP11	approved	ACTBP11
ACTBP12	approved	ACTBP12
ACTBP14	approved	ACTBP14
ACTBP15	approved	ACTBP15
ACTBP16	approved	ACTBP16
ACTBP2	approved	ACTBP2
ACTBP3	approved	ACTBP3
ACTBP4	approved	ACTBP4
ACTBP6	approved	ACTBP6
ACTBP7	approved	ACTBP7
ACTBP8	approved	ACTBP8
ACTBP9	approved	ACTBP9
ACTC1	approved	ACTC1
ACTE1P	approved	ACTE1P
ACTG1	approved	ACTG1
ACTG1P1	approved	ACTG1P1
ACTG1P10	approved	ACTG1P10
ACTG1P11	approved	ACTG1P11
ACTG1P12	approved	ACTG1P12
ACTG1P13	approved	ACTG1P13
ACTG1P14	approved	ACTG1P14
ACTG1P15	approved	ACTG1P15
ACTG1P16	approved	ACTG1P16
ACTG1P17	approved	ACTG1P17
ACTG1P18	approved	ACTG1P18
ACTG1P19	approved	ACTG1P19
ACTG1P2	approved	ACTG1P2
ACTG1P20	approved	ACTG1P20
ACTG1P21	approved	ACTG1P21
ACTG1P22	approved	ACTG1P22
ACTG1P23	approved	ACTG1P23
ACTG1P24	approved	ACTG1P24
ACTG1P25	approved	ACTG1P25
ACTG1P3	approved	ACTG1P3
ACTG1P4	approved	ACTG1P4
ACTG1P6	approved	ACTG1P6
ACTG1P7	approved	ACTG1P7
ACTG1P8	approved	ACTG1P8
ACTG1P9	approved	ACTG1P9
ACTG2	approved	ACTG2
ACTL10	approved	ACTL10
ACTL11P	approved	ACTL11P
ACTL6A	approved	ACTL6A
ACTL6A-AS1	approved	ACTL6A-AS1
ACTL6B	approved	ACTL6B
ACTL7A	approved	ACTL7A
ACTL7B	approved	ACTL7B
ACTL8	approved	ACTL8
ACTL9	approved	ACTL9
ACTMAP	approved	ACTMAP
ACTN1	approved	ACTN1
ACTN1-DT	approved	ACTN1-DT
ACTN2	approved	ACTN2
ACTN3	approved	ACTN3
ACTN3-AS1	approved	ACTN3-AS1
ACTN4	approved	ACTN4
ACTN4-AS1	approved	ACTN4-AS1
ACTN4P1	approved	ACTN4P1
ACTN4P2	approved	ACTN4P2
ACTP1	approved	ACTP1
ACTR10	approved	ACTR10
ACTR1A	approved	ACTR1A
ACTR1AP1	approved	ACTR1AP1
ACTR1B	approved	ACTR1B
ACTR2	approved	ACTR2
ACTR2P1	approved	ACTR2P1
ACTR2P2	approved	ACTR2P2
ACTR3	approved	ACTR3
ACTR3-AS1	approved	ACTR3-AS1
ACTR3B	approved	ACTR3B
ACTR3BP1	approved	ACTR3BP1
ACTR3BP2	approved	ACTR3BP2
ACTR3BP3	approved	ACTR3BP3
ACTR3BP4	approved	ACTR3BP4
ACTR3BP5	approved	ACTR3BP5
ACTR3BP6	approved	ACTR3BP6
ACTR3BP7	approved	ACTR3BP7
ACTR3C	approved	ACTR3C
ACTR3P1	approved	ACTR3P1
ACTR3P2	approved	ACTR3P2
ACTR3P3	approved	ACTR3P3
ACTR5	approved	ACTR5
ACTR6	approved	ACTR6
ACTR6P1	approved	ACTR6P1
ACTR8	approved	ACTR8
ACTRT1	approved	ACTRT1
ACTRT1P1	approved	ACTRT1P1
ACTRT2	approved	ACTRT2
ACTRT3	approved	ACTRT3
ACVR1	approved	ACVR1
ACVR1B	approved	ACVR1B
ACVR1C	approved	ACVR1C
ACVR2A	approved	ACVR2A
ACVR2B	approved	ACVR2B
ACVR2B-AS1	approved	ACVR2B-AS1
ACVRL1	approved	ACVRL1
ACY1	approved	ACY1
ACY3	approved	ACY3
ACYP1	approved	ACYP1
ACYP2	approved	ACYP2
ADA	approved	ADA
ADA2	approved	ADA2
ADAD1	approved	ADAD1
ADAD1-AS1	approved	ADAD1-AS1
ADAD1P1	approved	ADAD1P1
ADAD1P2	approved	ADAD1P2
ADAD2	approved	ADAD2
ADAD2-AS1	approved	ADAD2-AS1
ADAM10	approved	ADAM10
ADAM11	approved	ADAM11
ADAM12	approved	ADAM12
ADAM15	approved	ADAM15
ADAM17	approved	ADAM17
ADAM18	approved	ADAM18
ADAM19	approved	ADAM19
ADAM1A	approved	ADAM1A
ADAM1B	approved	ADAM1B
ADAM2	approved	ADAM2
ADAM20	approved	ADAM20
ADAM20P1	approved	ADAM20P1
ADAM20P2	approved	ADAM20P2
ADAM20P3	approved	ADAM20P3
ADAM21	approved	ADAM21
ADAM21P1	approved	ADAM21P1
ADAM22	approved	ADAM22
ADAM23	approved	ADAM23
ADAM24P	approved	ADAM24P
ADAM28	approved	ADAM28
ADAM29	approved	ADAM29
ADAM30	approved	ADAM30
ADAM32	approved	ADAM32
ADAM33	approved	ADAM33
ADAM3A	approved	ADAM3A
ADAM3B	approved	ADAM3B
ADAM5	approved	ADAM5
ADAM6	approved	ADAM6
ADAM7	approved	ADAM7
ADAM7-AS1	approved	ADAM7-AS1
ADAM7-AS2	approved	ADAM7-AS2
ADAM8	approved	ADAM8
ADAM9	approved	ADAM9
ADAMDEC1	approved	ADAMDEC1
ADAMTS1	approved	ADAMTS1
ADAMTS10	approved	ADAMTS10
ADAMTS10-AS1	approved	ADAMTS10-AS1
ADAMTS12	approved	ADAMTS12
ADAMTS13	approved	ADAMTS13
ADAMTS14	approved	ADAMTS14
ADAMTS15	approved	ADAMTS15
ADAMTS16	approved	ADAMTS16
ADAMTS16-AS1	approved	ADAMTS16-AS1
ADAMTS16-DT	approved	ADAMTS16-DT
ADAMTS17	approved	ADAMTS17
ADAMTS17-AS1	approved	ADAMTS17-AS1
ADAMTS18	approved	ADAMTS18
ADAMTS19	approved	ADAMTS19
ADAMTS19-AS1	approved	ADAMTS19-AS1
ADAMTS2	approved	ADAMTS2
ADAMTS20	approved	ADAMTS20
ADAMTS3	approved	ADAMTS3
ADAMTS3-AS1	approved	ADAMTS3-AS1
ADAMTS3-AS2	approved	ADAMTS3-AS2
ADAMTS3-AS3	approved	ADAMTS3-AS3
ADAMTS4	approved	ADAMTS4
ADAMTS5	approved	ADAMTS5
ADAMTS6	approved	ADAMTS6
ADAMTS6-DT	approved	ADAMTS6-DT
ADAMTS7	approved	ADAMTS7
ADAMTS7P1	approved	ADAMTS7P1
ADAMTS7P3	approved	ADAMTS7P3
ADAMTS7P4	approved	ADAMTS7P4
ADAMTS7P5	approved	ADAMTS7P5
ADAMTS8	approved	ADAMTS8
ADAMTS9	approved	ADAMTS9
ADAMTS9-AS1	approved	ADAMTS9-AS1
ADAMTS9-AS2	approved	ADAMTS9-AS2
ADAMTSL1	approved	ADAMTSL1
ADAMTSL2	approved	ADAMTSL2
ADAMTSL3	approved	ADAMTSL3
ADAMTSL4	approved	ADAMTSL4
ADAMTSL4-AS1	approved	ADAMTSL4-AS1
ADAMTSL4-AS2	approved	ADAMTSL4-AS2
ADAMTSL5	approved	ADAMTSL5
ADAP1	approved	ADAP1
ADAP2	approved	ADAP2
ADAR	approved	ADAR
ADARB1	approved	ADARB1
ADARB2	approved	ADARB2
ADARB2-AS1	approved	ADARB2-AS1
ADAT1	approved	ADAT1
ADAT2	approved	ADAT2
ADAT3	approved	ADAT3
ADCK1	approved	ADCK1
ADCK2	approved	ADCK2
ADCK5	approved	ADCK5
ADCP1	approved	ADCP1
ADCY1	approved	ADCY1
ADCY10	approved	ADCY10
ADCY10P1	approved	ADCY10P1
ADCY2	approved	ADCY2
ADCY2-AS1	approved	ADCY2-AS1
ADCY2-AS2	approved	ADCY2-AS2
ADCY3	approved	ADCY3
ADCY4	approved	ADCY4
ADCY5	approved	ADCY5
ADCY6	approved	ADCY6
ADCY6-DT	approved	ADCY6-DT
ADCY7	approved	ADCY7
ADCY8	approved	ADCY8
ADCY9	approved	ADCY9
ADCYAP1	approved	ADCYAP1
ADCYAP1R1	approved	ADCYAP1R1
ADD1	approved	ADD1
ADD1-DT	approved	ADD1-DT
ADD2	approved	ADD2
ADD2-AS1	approved	ADD2-AS1
ADD3	approved	ADD3
ADD3-AS1	approved	ADD3-AS1
ADGB	approved	ADGB
ADGB-DT	approved	ADGB-DT
ADGRA1	approved	ADGRA1
ADGRA1-AS1	approved	ADGRA1-AS1
ADGRA2	approved	ADGRA2
ADGRA3	approved	ADGRA3
ADGRA3P1	approved	ADGRA3P1
ADGRB1	approved	ADGRB1
ADGRB2	approved	ADGRB2
ADGRB3	approved	ADGRB3
ADGRB3-DT	approved	ADGRB3-DT
ADGRD1	approved	ADGRD1
ADGRD1-AS1	approved	ADGRD1-AS1
ADGRD1-AS2	approved	ADGRD1-AS2
ADGRD2	approved	ADGRD2
ADGRE1	approved	ADGRE1
ADGRE2	approved	ADGRE2
ADGRE3	approved	ADGRE3
ADGRE4P	approved	ADGRE4P
ADGRE5	approved	ADGRE5
ADGRF1	approved	ADGRF1
ADGRF2P	approved	ADGRF2P
ADGRF3	approved	ADGRF3
ADGRF4	approved	ADGRF4
ADGRF5	approved	ADGRF5
ADGRF5-AS1	approved	ADGRF5-AS1
ADGRF5P1	approved	ADGRF5P1
ADGRF5P2	approved	ADGRF5P2
ADGRG1	approved	ADGRG1
ADGRG2	approved	ADGRG2
ADGRG3	approved	ADGRG3
ADGRG4	approved	ADGRG4
ADGRG5	approved	ADGRG5
ADGRG6	approved	ADGRG6
ADGRG7	approved	ADGRG7
ADGRL1	approved	ADGRL1
ADGRL1-AS1	approved	ADGRL1-AS1
ADGRL2	approved	ADGRL2
ADGRL3	approved	ADGRL3
ADGRL3-AS1	approved	ADGRL3-AS1
ADGRL3-AS2	approved	ADGRL3-AS2
ADGRL3-AS3	approved	ADGRL3-AS3
ADGRL4	approved	ADGRL4
ADGRV1	approved	ADGRV1
ADGRV1-AS1	approved	ADGRV1-AS1
ADH1A	approved	ADH1A
ADH1B	approved	ADH1B
ADH1C	approved	ADH1C
ADH4	approved	ADH4
ADH5	approved	ADH5
ADH5P2	approved	ADH5P2
ADH5P3	approved	ADH5P3
ADH5P4	approved	ADH5P4
ADH5P5	approved	ADH5P5
ADH6	approved	ADH6
ADH7	approved	ADH7
ADHFE1	approved	ADHFE1
ADI1	approved	ADI1
ADI1P1	approved	ADI1P1
ADI1P2	approved	ADI1P2
ADI1P3	approved	ADI1P3
ADIG	approved	ADIG
ADIPINT	approved	ADIPINT
ADIPOQ	approved	ADIPOQ
ADIPOQ-AS1	approved	ADIPOQ-AS1
ADIPOR1	approved	ADIPOR1
ADIPOR1P1	approved	ADIPOR1P1
ADIPOR1P2	approved	ADIPOR1P2
ADIPOR2	approved	ADIPOR2
ADIRF	approved	ADIRF
ADIRF-AS1	approved	ADIRF-AS1
ADISSP	approved	ADISSP
ADISSPP1	approved	ADISSPP1
ADISSPP2	approved	ADISSPP2
ADK	approved	ADK
ADK-AS1	approved	ADK-AS1
ADM	approved	ADM
ADM-DT	approved	ADM-DT
ADM2	approved	ADM2
ADM5	approved	ADM5
ADNP	approved	ADNP
ADNP-AS1	approved	ADNP-AS1
ADNP2	approved	ADNP2
ADO	approved	ADO
ADORA1	approved	ADORA1
ADORA1-AS1	approved	ADORA1-AS1
ADORA1-AS2	approved	ADORA1-AS2
ADORA2A	approved	ADORA2A
ADORA2A-AS1	approved	ADORA2A-AS1
ADORA2B	approved	ADORA2B
ADORA2BP1	approved	ADORA2BP1
ADORA3	approved	ADORA3
ADPGK	approved	ADPGK
ADPGK-AS1	approved	ADPGK-AS1
ADPRH	approved	ADPRH
ADPRH-AS1	approved	ADPRH-AS1
ADPRHL1	approved	ADPRHL1
ADPRM	approved	ADPRM
ADPRS	approved	ADPRS
ADRA1A	approved	ADRA1A
ADRA1B	approved	ADRA1B
ADRA1D	approved	ADRA1D
ADRA2A	approved	ADRA2A
ADRA2B	approved	ADRA2B
ADRA2C	approved	ADRA2C
ADRB1	approved	ADRB1
ADRB2	approved	ADRB2
ADRB3	approved	ADRB3
ADRM1	approved	ADRM1
ADSL	approved	ADSL
ADSS1	approved	ADSS1
ADSS2	approved	ADSS2
ADTRP	approved	ADTRP
AEBP1	approved	AEBP1
AEBP2	approved	AEBP2
AEN	approved	AEN
AFAP1	approved	AFAP1
AFAP1-AS1	approved	AFAP1-AS1
AFAP1-AS2	approved	AFAP1-AS2
AFAP1L1	approved	AFAP1L1
AFAP1L2	approved	AFAP1L2
AFDN	approved	AFDN
AFDN-DT	approved	AFDN-DT
AFF1	approved	AFF1
AFF1-AS1	approved	AFF1-AS1
AFF2	approved	AFF2
AFF2-IT1	approved	AFF2-IT1
AFF3	approved	AFF3
AFF4	approved	AFF4
AFF4-DT	approved	AFF4-DT
AFF4P1	approved	AFF4P1
AFG1L	approved	AFG1L
AFG2A	approved	AFG2A
AFG2B	approved	AFG2B
AFG3L1P	approved	AFG3L1P
AFG3L2	approved	AFG3L2
AFG3L2P1	approved	AFG3L2P1
AFM	approved	AFM
AFMID	approved	AFMID
AFP	approved	AFP
AFTPH	approved	AFTPH
AFTPH-DT	approved	AFTPH-DT
AGA	approved	AGA
AGA-DT	approved	AGA-DT
AGAP1	approved	AGAP1
AGAP1-IT1	approved	AGAP1-IT1
AGAP10P	approved	AGAP10P
AGAP11	approved	AGAP11
AGAP12P	approved	AGAP12P
AGAP13P	approved	AGAP13P
AGAP14P	approved	AGAP14P
AGAP2	approved	AGAP2
AGAP2-AS1	approved	AGAP2-AS1
AGAP3	approved	AGAP3
AGAP4	approved	AGAP4
AGAP5	approved	AGAP5
AGAP6	approved	AGAP6
AGAP7P	approved	AGAP7P
AGAP9	approved	AGAP9
AGBL1	approved	AGBL1
AGBL1-AS1	approved	AGBL1-AS1
AGBL2	approved	AGBL2
AGBL3	approved	AGBL3
AGBL4	approved	AGBL4
AGBL4-AS1	approved	AGBL4-AS1
AGBL4-IT1	approved	AGBL4-IT1
AGBL5	approved	AGBL5
AGBL5-AS1	approved	AGBL5-AS1
AGBL5-IT1	approved	AGBL5-IT1
AGER	approved	AGER
AGFG1	approved	AGFG1
AGFG2	approved	AGFG2
AGGF1	approved	AGGF1
AGGF1P1	approved	AGGF1P1
AGGF1P10	approved	AGGF1P10
AGGF1P2	approved	AGGF1P2
AGGF1P3	approved	AGGF1P3
AGGF1P4	approved	AGGF1P4
AGGF1P5	approved	AGGF1P5
AGGF1P6	approved	AGGF1P6
AGGF1P7	approved	AGGF1P7
AGGF1P8	approved	AGGF1P8
AGGF1P9	approved	AGGF1P9
AGK	approved	AGK
AGK-DT	approved	AGK-DT
AGKP1	approved	AGKP1
AGKP2	approved	AGKP2
AGL	approved	AGL
AGMAT	approved	AGMAT
AGMO	approved	AGMO
AGO1	approved	AGO1
AGO2	approved	AGO2
AGO3	approved	AGO3
AGO4	approved	AGO4
AGPAT1	approved	AGPAT1
AGPAT2	approved	AGPAT2
AGPAT3	approved	AGPAT3
AGPAT4	approved	AGPAT4
AGPAT4-IT1	approved	AGPAT4-IT1
AGPAT5	approved	AGPAT5
AGPAT5P1	approved	AGPAT5P1
AGPS	approved	AGPS
AGPS-DT	approved	AGPS-DT
AGR2	approved	AGR2
AGR3	approved	AGR3
AGRN	approved	AGRN
AGRP	approved	AGRP
AGT	approved	AGT
AGTPBP1	approved	AGTPBP1
AGTR1	approved	AGTR1
AGTR2	approved	AGTR2
AGTRAP	approved	AGTRAP
AGXT	approved	AGXT
AGXT2	approved	AGXT2
AGXT2-AS1	approved	AGXT2-AS1
AHCTF1	approved	AHCTF1
AHCTF1P1	approved	AHCTF1P1
AHCY	approved	AHCY
AHCYL1	approved	AHCYL1
AHCYL2	approved	AHCYL2
AHCYP1	approved	AHCYP1
AHCYP2	approved	AHCYP2
AHCYP3	approved	AHCYP3
AHCYP4	approved	AHCYP4
AHCYP5	approved	AHCYP5
AHCYP6	approved	AHCYP6
AHCYP7	approved	AHCYP7
AHCYP8	approved	AHCYP8
AHDC1	approved	AHDC1
AHI1	approved	AHI1
AHI1-DT	approved	AHI1-DT
